Thread ID: 18456180
Fiber ID: 52550820
Total: 6.179719
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.14      0.037     0.009     0.000     0.028     1000   ActionView::PartialRenderer#setup 
  0.14      0.012     0.009     0.000     0.004     7000   URI::Generic#set_port 
  0.14      0.029     0.009     0.000     0.020     6000   ActionDispatch::Http::URL#initialize 
  0.14      0.011     0.009     0.000     0.003     6000   Array#== 
  0.14      0.014     0.009     0.000     0.005     3000   Hash#each_key 
  0.14      0.009     0.009     0.000     0.000    12000   ActiveSupport::SubscriberQueueRegistry#get_queue 
  0.14      3.173     0.008     0.000     3.165     7000  *ActiveSupport::Notifications::Instrumenter#instrument 
  0.14      0.182     0.008     0.000     0.174     1000   Rack::Response#initialize 
  0.14      0.238     0.008     0.000     0.229    13000  *Enumerable#map 
  0.14      0.058     0.008     0.000     0.050     3000   Array#map! 
  0.14      0.024     0.008     0.000     0.016     7000   ActiveSupport::JSON::Encoding::Encoder#options_for 
  0.13      0.018     0.008     0.000     0.009     3000   Hash#hash 
  0.13      0.067     0.008     0.000     0.059    24000  *ActiveSupport::Subscriber#event_stack 
  0.13      0.012     0.008     0.000     0.004     2000   ActionDispatch::Http::MimeNegotiation#content_mime_type 
  0.13      0.044     0.008     0.000     0.036     8000   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool 
  0.13      0.154     0.008     0.000     0.146     1000   URI::Generic#merge 
  0.13      0.090     0.008     0.000     0.082     1000   ActionDispatch::Journey::GTG::Simulator#simulate 
  0.13      0.046     0.008     0.000     0.038     1000   Arel::Visitors::ToSql#visit_Arel_Nodes_SelectCore 
  0.13      0.014     0.008     0.000     0.006     1000   ActionView::PartialRenderer#retrieve_variable 
  0.13      0.008     0.008     0.000     0.000    27000   Kernel#block_given? 
  0.13      0.012     0.008     0.000     0.004     7000   Kernel#Array 
  0.13      0.760     0.008     0.000     0.752     1000   ActiveRecord::FinderMethods#find_first 
  0.13      0.074     0.008     0.000     0.066     5000   ActionView::Resolver#cached 
  0.13      0.090     0.008     0.000     0.082     5000   ActionView::LookupContext::ViewPaths#args_for_lookup 
  0.12      0.008     0.008     0.000     0.000     7000   StringScanner#scan 
  0.12      0.008     0.008     0.000     0.000     3000   Regexp#match 
  0.12      0.008     0.008     0.000     0.000    12000   Fixnum#to_default_s 
  0.12      0.008     0.008     0.000     0.000    15000   String#force_encoding 
  0.12      0.008     0.008     0.000     0.000     3000   Regexp#=~ 
  0.12      0.023     0.008     0.000     0.016    10000   <Class::ActionController::Base>#logger 
  0.12      0.009     0.008     0.000     0.002    11000   Array#eql? 
  0.12      0.008     0.008     0.000     0.000     1000   <Module::OpenSSL::Random>#random_bytes 
  0.12      3.581     0.007     0.000     3.574     1000   ActionController::Instrumentation#process_action 
  0.12      0.651     0.007     0.000     0.644     1000   ActiveRecord::Relation#exec_queries 
  0.12      0.058     0.007     0.000     0.050     1000   Rack::Request#cookies 
  0.12      0.060     0.007     0.000     0.053     5000   Time#minus_with_coercion 
  0.12      0.012     0.007     0.000     0.004    12000   Set#add 
  0.12      0.012     0.007     0.000     0.005     9000   Arel::Visitors::Visitor#dispatch 
  0.12      0.007     0.007     0.000     0.000     2000   Rack::Request#scheme 
  0.11      0.254     0.007     0.000     0.247     8000   ActiveSupport::Notifications::Fanout#start 
  0.11      0.044     0.007     0.000     0.037    24000  *<Class::ActiveRecord::Base>#connection_handler 
  0.11      0.014     0.007     0.000     0.007     8000   URI::Generic#default_port 
  0.11      0.009     0.007     0.000     0.002     4000   ActiveSupport::Logger::SimpleFormatter#call 
  0.11      0.063     0.007     0.000     0.056     1000   <Module::ActionDispatch::Http::URL>#url_for 
  0.11      0.011     0.007     0.000     0.004    12000   Set#delete 
  0.11      0.172     0.007     0.000     0.165     7000   Hash#fetch 
  0.11      0.021     0.007     0.000     0.014     8000   ActiveRecord::ConnectionAdapters::ConnectionHandler#class_to_pool 
  0.11      0.012     0.007     0.000     0.005    14000   Set#include? 
  0.11      4.560     0.007     0.000     4.553     4000  *ActiveSupport::Callbacks#run_callbacks 
  0.11      4.295     0.007     0.000     4.288     1000   Rack::ETag#call 
  0.11      4.719     0.007     0.000     4.712     1000   Rails::Rack::Logger#call_app 
  0.11      0.007     0.007     0.000     0.000     6000   <Class::Hash>#[] 
  0.11      0.020     0.007     0.000     0.013     4000   Kernel#clone 
  0.11      0.104     0.007     0.000     0.097     2000  *ActionView::LogSubscriber#render_template 
  0.11      0.501     0.007     0.000     0.495     8000   ActiveSupport::Notifications::Fanout#finish 
  0.11      0.007     0.007     0.000     0.000     4000   String#encode 
  0.11      0.011     0.007     0.000     0.004     6000   ActionDispatch::Http::Parameters#initialize 
  0.11      3.720     0.007     0.000     3.713     1000   AbstractController::Rendering#process 
  0.11      0.008     0.007     0.000     0.001    54000   Kernel#=== 
  0.11      3.893     0.006     0.000     3.887    11000  *Proc#call 
  0.11      0.079     0.006     0.000     0.072     6000   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection 
  0.10      2.424     0.006     0.000     2.418     1000   ActionController::Rendering#render 
  0.10      1.852     0.006     0.000     1.846     1000   ActionView::CompiledTemplates#_app_views_jbuilder_sample__json_jbuilder__1927323477291210785_40840580 
  0.10      0.023     0.006     0.000     0.017     3000   ActionDispatch::Response#body= 
  0.10      0.508     0.006     0.000     0.501     8000   ActiveSupport::Notifications::Instrumenter#finish 
  0.10      0.036     0.006     0.000     0.029     6000   ActionDispatch::Journey::GTG::TransitionTable#move_regexp 
  0.10      0.191     0.006     0.000     0.185     3000   ActionDispatch::Http::Parameters#parameters 
  0.10      0.006     0.006     0.000     0.000     5000   Symbol#[] 
  0.10      0.010     0.006     0.000     0.004    10000   #<Class:0x0000000500e628>#logger 
  0.10      0.029     0.006     0.000     0.022     6000   ActiveSupport::HashWithIndifferentAccess#update 
  0.10      0.006     0.006     0.000     0.000    15000   Array#pop 
  0.10      0.006     0.006     0.000     0.000    11000   ActiveSupport::Configurable::ClassMethods#config 
  0.10      0.062     0.006     0.000     0.055     1000   ActionController::LogSubscriber#start_processing 
  0.10      0.006     0.006     0.000     0.000    16000   Kernel#kind_of? 
  0.10      0.006     0.006     0.000     0.000    13000   Kernel#nil? 
  0.10      0.061     0.006     0.000     0.055     6000   ActionDispatch::Journey::GTG::TransitionTable#move 
  0.10      0.052     0.006     0.000     0.046     1000   ActionDispatch::FileHandler#match? 
  0.10      0.019     0.006     0.000     0.013     4000   ActiveSupport::HashWithIndifferentAccess#initialize 
  0.10      0.006     0.006     0.000     0.000    15000   Array#compact 
