Thread ID: 18456180
Fiber ID: 52550820
Total: 5.751410
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.09      0.007     0.005     0.000     0.001     3000   ActiveSupport::Logger::SimpleFormatter#call 
  0.09      0.041     0.005     0.000     0.036     1000   Rabl::Engine#format_json 
  0.09      0.214     0.005     0.000     0.208     6000   ActiveSupport::Notifications::Fanout#start 
  0.09      0.005     0.005     0.000     0.000     8000   Hash#include? 
  0.09      1.948     0.005     0.000     1.943     1000   ActionView::TemplateRenderer#render 
  0.09      0.010     0.005     0.000     0.005    16000  *ActiveSupport::OrderedOptions#_get 
  0.09      2.239     0.005     0.000     2.233     1000   ActiveRecord::Railties::ControllerRuntime#cleanup_view_runtime 
  0.09      0.311     0.005     0.000     0.306     6000   ActiveSupport::Notifications::Fanout#finish 
  0.09      0.011     0.005     0.000     0.006     5000   Array#reject 
  0.09      0.005     0.005     0.000     0.000    15000   NilClass#nil? 
  0.09      0.042     0.005     0.000     0.036     4000   <Class::ActiveRecord::LogSubscriber>#reset_runtime 
  0.09      0.008     0.005     0.000     0.003     6000   ActionDispatch::Response#[] 
  0.09      0.015     0.005     0.000     0.010     6000  *ActiveRecord::Scoping::Default::ClassMethods#build_default_scope 
  0.09      0.241     0.005     0.000     0.235     1000   ActionDispatch::Journey::Router#find_routes 
  0.09      0.039     0.005     0.000     0.034     6000   ActiveRecord::ConnectionAdapters::ConnectionPool#connection 
  0.09      0.010     0.005     0.000     0.005     6000   ActiveSupport::TaggedLogging::Formatter#current_tags 
  0.09      0.005     0.005     0.000     0.000     9000   Hash#keys 
  0.09      4.504     0.005     0.000     4.499     1000   Rack::Runtime#call 
  0.09      2.164     0.005     0.000     2.159     1000   ActionController::Rendering#render 
  0.09      0.005     0.005     0.000     0.000     4000   String#to_i 
  0.09      0.029     0.005     0.000     0.024     1000   <Module::SecureRandom>#uuid 
  0.09      0.015     0.005     0.000     0.010     3000   Object#try 
  0.09      0.017     0.005     0.000     0.012     6000   ActionDispatch::Journey::GTG::TransitionTable#move_string 
  0.08      0.005     0.005     0.000     0.000     8000   <Class::URI::Generic>#default_port 
  0.08      0.168     0.005     0.000     0.163     5000   Hash#fetch 
  0.08      2.318     0.005     0.000     2.313     1000   ActionController::Rendering#process_action 
  0.08      0.228     0.005     0.000     0.223     3000   ActionView::LookupContext::ViewPaths#find 
  0.08      0.005     0.005     0.000     0.000     8000   <Module::Rabl>#configuration 
  0.08      0.005     0.005     0.000     0.000     9000   Kernel#nil? 
  0.08      0.057     0.005     0.000     0.052     1000   ActiveRecord::QueryMethods#order! 
  0.08      0.013     0.005     0.000     0.008     1000   <Module::SecureRandom>#random_bytes 
  0.08      0.022     0.005     0.000     0.018     2000   ActionView::LookupContext#formats= 
  0.08      0.005     0.005     0.000     0.000     6000   String#force_encoding 
  0.08      0.085     0.005     0.000     0.080     6000   ActionView::Resolver#find_all 
  0.08      0.219     0.005     0.000     0.214     6000   ActiveSupport::Notifications::Instrumenter#start 
  0.08      0.008     0.005     0.000     0.003     4000   ActiveRecord::Inheritance::ClassMethods#base_class 
  0.08      0.285     0.005     0.000     0.280    11000   Mutex_m#mu_synchronize 
  0.08      0.324     0.005     0.000     0.320     1000   ActiveRecord::ConnectionAdapters::QueryCache#cache_sql 
  0.08      5.621     0.005     0.000     5.617     1000   JsonTestTest#test_rabl_sample3 
  0.08      0.007     0.005     0.000     0.002     2000   Hash#each_key 
  0.08      0.134     0.005     0.000     0.129     9000  *Arel::Visitors::Visitor#visit 
  0.08      0.007     0.005     0.000     0.002     6000   URI::Generic#set_scheme 
  0.08      0.045     0.005     0.000     0.041     2000   ActionDispatch::Routing::UrlFor#initialize 
  0.08      0.011     0.005     0.000     0.006     2000   Rabl::Helpers#template_cache_configured? 
  0.08      0.316     0.005     0.000     0.311     6000   ActiveSupport::Notifications::Instrumenter#finish 
  0.08      0.025     0.005     0.000     0.020     2000   ActionDispatch::Http::MimeNegotiation#formats 
  0.08      0.065     0.005     0.000     0.060     1000   ActionView::TemplateRenderer#determine_template 
  0.08      0.132     0.005     0.000     0.127     3000   ActionView::PathSet#find 
  0.08      0.090     0.005     0.000     0.086     3000   ActiveSupport::LogSubscriber#start 
  0.08      0.005     0.005     0.000     0.000     2000   Kernel#instance_variables 
  0.08      1.855     0.005     0.000     1.851     1000   ActionView::TemplateRenderer#render_with_layout 
  0.08      0.028     0.005     0.000     0.023     6000   Kernel#!~ 
  0.08      0.006     0.005     0.000     0.001     1000   <Class::ActionDispatch::Cookies::CookieJar>#options_for_env 
  0.08      0.005     0.004     0.000     0.001     3000   Arel::Nodes::Unary#initialize 
  0.08      1.255     0.004     0.000     1.251     1000   Rabl::Engine#to_hash 
  0.08      0.004     0.004     0.000     0.000    11000   Array#last 
  0.08      4.666     0.004     0.000     4.661     1000   Rails::Application#call 
  0.08      0.004     0.004     0.000     0.000     2000   Regexp#match 
  0.08      4.622     0.004     0.000     4.618     1000   ActionDispatch::Static#call 
  0.08      0.028     0.004     0.000     0.023     6000   ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id 
  0.08      0.004     0.004     0.000     0.000    11000   Array#concat 
  0.08      0.004     0.004     0.000     0.000    15000   BasicObject#initialize 
  0.08      0.027     0.004     0.000     0.023     2000   Rack::Utils#parse_nested_query 
  0.08      0.006     0.004     0.000     0.001     5000   Rack::Request#query_string 
  0.08      0.004     0.004     0.000     0.000     4000   ActionDispatch::Request#check_method 
  0.08      0.009     0.004     0.000     0.005     1000   ActiveSupport::MessageEncryptor#initialize 
  0.08      4.166     0.004     0.000     4.162     1000   ActiveRecord::QueryCache#call 
  0.07      0.006     0.004     0.000     0.002     6000   URI::Generic#userinfo 
  0.07      0.019     0.004     0.000     0.015     4000   ActionView::Helpers::ControllerHelper#params 
  0.07      0.009     0.004     0.000     0.004     1000   ActionDispatch::Cookies::CookieJar#[]= 
  0.07      0.037     0.004     0.000     0.033     2000   Rack::Utils::HeaderHash#initialize 
  0.07      0.019     0.004     0.000     0.015     1000   ActiveRecord::QueryMethods#build_order 
  0.07      0.004     0.004     0.000     0.000     4000   Rational#/ 
  0.07      0.014     0.004     0.000     0.010     2000   ActionDispatch::Journey::Path::Pattern#match 
  0.07      0.019     0.004     0.000     0.015     1000   Rack::ETag#digest_body 
  0.07      0.039     0.004     0.000     0.035     2000   ActionDispatch::Http::Cache::Response#prepare_cache_control! 
  0.07      0.094     0.004     0.000     0.090     1000   <Class::ActionDispatch::Cookies::CookieJar>#build 
  0.07      0.019     0.004     0.000     0.015     1000   Rabl::Engine#default_object 
  0.07      0.033     0.004     0.000     0.029     4000   Time#minus_with_duration 
  0.07      0.004     0.004     0.000     0.000     6000   <Class::ActionView::Resolver>#caching 
  0.07      0.044     0.004     0.000     0.040     2000   Enumerable#to_a 
  0.07      0.020     0.004     0.000     0.015     3000   ActiveRecord::Relation#with_default_scope 
  0.07      3.038     0.004     0.000     3.034     4000  *<Module::ActiveSupport::Notifications>#instrument 
  0.07      0.267     0.004     0.000     0.263     4000   ActiveSupport::Notifications::Fanout::Subscribers::Evented#finish 
  0.07      0.029     0.004     0.000     0.024     1000   Turbolinks::XDomainBlocker#abort_xdomain_redirect 
  0.07      4.115     0.004     0.000     4.111     1000   ActionDispatch::Cookies#call 
  0.07      0.044     0.004     0.000     0.040     1000   URI::Generic#merge0 
  0.07      0.027     0.004     0.000     0.023     2000   ActionDispatch::Http::Parameters#normalize_encode_params 
  0.07      0.049     0.004     0.000     0.045     1000   AbstractController::Rendering#_normalize_options 
  0.07      0.004     0.004     0.000     0.000     6000   URI::Generic#set_query 
  0.07      3.691     0.004     0.000     3.687     1000   ActionDispatch::Routing::RouteSet::Dispatcher#call 
  0.07      4.062     0.004     0.000     4.058     1000   ActionDispatch::Flash#call 
  0.07      0.009     0.004     0.000     0.005     6000   ThreadSafe::NonConcurrentCacheBackend#[]= 
  0.07      0.021     0.004     0.000     0.017     6000   ThreadSafe::MriCacheBackend#[]= 
  0.07      0.066     0.004     0.000     0.062     1000   AbstractController::Layouts#_normalize_options 
  0.07      0.120     0.004     0.000     0.116     6000   ActiveRecord::ConnectionHandling#connection 
  0.07      0.005     0.004     0.000     0.001     2000   URI::Generic#normalize! 
  0.07      0.004     0.004     0.000     0.000    12000   Symbol#== 
  0.07      0.004     0.004     0.000     0.000     8000   String#initialize_copy 
  0.07      0.176     0.004     0.000     0.172     4000   <Module::URI>#parse 
  0.07      0.008     0.004     0.000     0.004     1000   Arel::Nodes::SelectCore#initialize 
  0.07      4.037     0.004     0.000     4.033     1000   Rack::ConditionalGet#call 
  0.07      0.004     0.004     0.000     0.000     1000   Rack::Request#scheme 
  0.07      0.065     0.004     0.000     0.062     1000   ApplicationController#_layout 
  0.07      0.027     0.004     0.000     0.023    14000  *ActiveRecord::ConnectionHandling#connection_id 
  0.07      0.004     0.004     0.000     0.000     5000   ActionView::Base#lookup_context 
  0.07      0.027     0.004     0.000     0.024     1000   ActionDispatch::Cookies::EncryptedCookieJar#initialize 
  0.07      0.256     0.004     0.000     0.252     3000   ActiveSupport::LogSubscriber#finish 
  0.07      0.024     0.004     0.000     0.020     2000   Rabl::Engine#request_params 
  0.07      0.004     0.004     0.000     0.000    10000   Hash#has_key? 
  0.07      0.011     0.004     0.000     0.008     2000   ActionView::LookupContext::Accessors#formats= 
  0.07      0.037     0.004     0.000     0.034     1000   Kernel#loop 
  0.07      0.005     0.004     0.000     0.001     5000   MonitorMixin#mon_check_owner 
  0.07      5.036     0.004     0.000     5.032     1000   Rack::Test::Session#process_request 
  0.07      0.004     0.004     0.000     0.001     1000   Enumerable#detect 
  0.07      0.004     0.004     0.000     0.000     2000   String#encode 
  0.07      0.004     0.004     0.000     0.000     3000   String#tr 
  0.07      0.084     0.004     0.000     0.081     3000   ActionView::LookupContext::ViewPaths#find_all 
  0.06      0.066     0.004     0.000     0.062     1000   Rails::Rack::Logger#started_request_message 
  0.06      0.035     0.004     0.000     0.031     2000   ActionDispatch::Request#parse_query 
  0.06      0.004     0.004     0.000     0.000     1000   String#sub! 
  0.06      0.005     0.004     0.000     0.001     2000   <Class::#<Class:0x000000030719f0>>#new 
  0.06      0.034     0.004     0.000     0.030     1000   ActionDispatch::Journey::Router#get_routes_as_head 
  0.06      0.170     0.004     0.000     0.167     4000   ActionDispatch::Request::Session::Options#[] 
  0.06      0.014     0.004     0.000     0.010     1000   Rails::Application#build_original_fullpath 
  0.06      0.099     0.004     0.000     0.095     1000   RablController#_layout 
  0.06      0.004     0.004     0.000     0.000     9000   Array#uniq 
  0.06      0.008     0.004     0.000     0.004     2000   MonitorMixin#mon_initialize 
  0.06      0.009     0.004     0.000     0.006     2000   ActiveRecord::Relation#eager_loading? 
  0.06      0.005     0.004     0.000     0.001     4000   ActiveSupport::Notifications::InstrumentationRegistry#instrumenter_for 
  0.06      4.408     0.004     0.000     4.405     1000   ActiveSupport::TaggedLogging::Formatter#tagged 
  0.06      0.039     0.004     0.000     0.035     1000   Rabl::Engine#copy_instance_variables_from 
  0.06      0.012     0.004     0.000     0.008     4000  *ActiveSupport::CachingKeyGenerator#generate_key 
