Thread ID: 18456180
Fiber ID: 52550820
Total: 4.166524
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.13      0.829     0.005     0.000     0.824     1000   ActiveRecord::Railties::ControllerRuntime#cleanup_view_runtime 
  0.13      0.008     0.005     0.000     0.003     4000   ActionDispatch::Request#request_method 
  0.13      0.008     0.005     0.000     0.003     2000   <Module::URI>#decode_www_form_component 
  0.13      0.005     0.005     0.000     0.000     9000   Fixnum#to_default_s 
  0.12      0.061     0.005     0.000     0.056     5000   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection 
  0.12      0.010     0.005     0.000     0.005     4000   Rack::Utils::HeaderHash#[] 
  0.12      0.005     0.005     0.000     0.000     9047   Hash#include? 
  0.12      0.005     0.005     0.000     0.000    10000   String#upcase 
  0.12      0.026     0.005     0.000     0.021    10000   ActionController::LogSubscriber#logger 
  0.12      2.782     0.005     0.000     2.777     4000  *ActiveSupport::Callbacks#run_callbacks 
  0.12      0.005     0.005     0.000     0.000     2000   Regexp#=~ 
  0.12      0.009     0.005     0.000     0.004     1000   Arel::Nodes::SelectCore#initialize 
  0.12      0.037     0.005     0.000     0.033     4000   <Class::ActiveRecord::LogSubscriber>#reset_runtime 
  0.12      0.017     0.005     0.000     0.012     1000   ActionController::TemplateAssertions#setup_subscriptions 
  0.12      0.014     0.005     0.000     0.009     3000   Object#try 
  0.12      0.005     0.005     0.000     0.000    14000   Kernel#kind_of? 
  0.12      0.005     0.005     0.000     0.000    12000   String#initialize_copy 
  0.12      0.005     0.005     0.000     0.000     7000   Rack::Request#initialize 
  0.11      0.005     0.005     0.000     0.000    16000   Array#first 
  0.11      0.225     0.005     0.000     0.220     1000   ActionDispatch::Journey::Router#find_routes 
  0.11      0.008     0.005     0.000     0.003     5000   ActiveSupport::HashWithIndifferentAccess#convert_key 
  0.11      0.007     0.005     0.000     0.003     6000   ActionDispatch::Response#[] 
  0.11      0.005     0.005     0.000     0.000    13000   Hash#key? 
  0.11      0.013     0.005     0.000     0.009     4000   ActiveSupport::HashWithIndifferentAccess#default 
  0.11      0.011     0.005     0.000     0.007     1000   <Module::SecureRandom>#random_bytes 
  0.11      0.016     0.004     0.000     0.011     6000   ActionDispatch::Journey::GTG::TransitionTable#move_string 
  0.11      3.036     0.004     0.000     3.031     1000   Rack::Runtime#call 
  0.11      0.004     0.004     0.000     0.000     3000   ActionDispatch::Http::URL#raw_host_with_port 
  0.11      0.026     0.004     0.000     0.022     1000   <Module::SecureRandom>#uuid 
  0.11      0.324     0.004     0.000     0.320     1000   ActiveRecord::ConnectionAdapters::QueryCache#cache_sql 
  0.11      0.573     0.004     0.000     0.569     1000   ActiveSupport::JSON::Encoding::Encoder#check_for_circular_references 
  0.11      0.091     0.004     0.000     0.086     5000   ActiveRecord::ConnectionHandling#retrieve_connection 
  0.11      0.004     0.004     0.000     0.000     8000   <Class::URI::Generic>#default_port 
  0.11      0.007     0.004     0.000     0.002     6000   URI::Generic#set_scheme 
  0.10      0.895     0.004     0.000     0.890     1000   ActionController::Rendering#process_action 
  0.10      0.008     0.004     0.000     0.004     6000   ActiveSupport::TaggedLogging::Formatter#current_tags 
  0.10      0.074     0.004     0.000     0.070     2000   Rack::Utils::HeaderHash#initialize 
  0.10      0.004     0.004     0.000     0.000     2000   Regexp#match 
  0.10      0.004     0.004     0.000     0.000     6000   String#force_encoding 
  0.10      0.024     0.004     0.000     0.020     2000   ActionDispatch::Http::MimeNegotiation#formats 
  0.10      0.005     0.004     0.000     0.001     5000   Rack::Request#query_string 
  0.10      0.082     0.004     0.000     0.078     3000   ActiveSupport::LogSubscriber#start 
  0.10      0.004     0.004     0.000     0.000     4000   String#to_i 
  0.10      0.004     0.004     0.000     0.000     7000   SQLite3::Statement#column_name 
  0.10      0.004     0.004     0.000     0.000     1000   String#sub! 
  0.10      4.082     0.004     0.000     4.078     1000   JsonTestTest#test_active_model_serializers_sample1 
  0.10      0.006     0.004     0.000     0.002     6000   URI::Generic#userinfo 
  0.10      0.007     0.004     0.000     0.003     3000   Kernel#Array 
  0.09      0.004     0.004     0.000     0.000     9002   Kernel#nil? 
  0.09      0.017     0.004     0.000     0.013     1000   Rack::ETag#digest_body 
  0.09      2.697     0.004     0.000     2.693     1000   ActiveRecord::QueryCache#call 
  0.09      0.025     0.004     0.000     0.022     2000   Rack::Utils#parse_nested_query 
  0.09      3.151     0.004     0.000     3.147     1000   Rails::Application#call 
  0.09      0.008     0.004     0.000     0.005     1000   ActiveSupport::MessageEncryptor#initialize 
  0.09      0.031     0.004     0.000     0.027     5000   ActiveRecord::ConnectionAdapters::ConnectionPool#connection 
  0.09      0.050     0.004     0.000     0.046     4000  *Arel::Visitors::Visitor#visit 
  0.09      0.029     0.004     0.000     0.025     4000   Time#minus_with_duration 
  0.09      0.004     0.004     0.000     0.000     1000   SQLite3::Statement#close 
  0.09      0.008     0.004     0.000     0.005     1000   AbstractController::Rendering#_normalize_options 
  0.09      0.004     0.004     0.000     0.000    12000   NilClass#nil? 
  0.09      0.004     0.004     0.000     0.000     4000   ActionDispatch::Request#check_method 
  0.09      0.008     0.004     0.000     0.004    14000  *ActiveSupport::OrderedOptions#_get 
  0.09      0.004     0.004     0.000     0.000    10000   Array#concat 
  0.09      0.037     0.004     0.000     0.033     2000   ActionDispatch::Http::Cache::Response#prepare_cache_control! 
  0.09      2.649     0.004     0.000     2.645     1000   ActionDispatch::Cookies#call 
  0.09      0.008     0.004     0.000     0.004     1000   ActionDispatch::Cookies::CookieJar#[]= 
  0.09      3.112     0.004     0.000     3.108     1000   ActionDispatch::Static#call 
  0.09      0.005     0.004     0.000     0.001     2000   URI::Generic#normalize! 
  0.09      0.004     0.004     0.000     0.000     4000   Rational#/ 
  0.09      0.281     0.004     0.000     0.277     4000   ActiveSupport::Notifications::Fanout::Subscribers::Evented#finish 
  0.09      1.621     0.004     0.000     1.617     2000   <Module::ActiveSupport::Notifications>#instrument 
  0.09      0.042     0.004     0.000     0.039     1000   URI::Generic#merge0 
  0.09      0.013     0.004     0.000     0.010     2000   ActionDispatch::Journey::Path::Pattern#match 
  0.09      2.579     0.004     0.000     2.576     1000   Rack::ConditionalGet#call 
  0.09      0.023     0.004     0.000     0.019     1000   AbstractController::Layouts#_normalize_options 
  0.09      0.013     0.004     0.000     0.009     1000   Rails::Application#build_original_fullpath 
  0.09      0.032     0.004     0.000     0.029     1000   Kernel#loop 
  0.09      0.024     0.004     0.000     0.020     5000   Kernel#!~ 
  0.08      0.032     0.004     0.000     0.029     1000   ActionDispatch::Journey::Router#get_routes_as_head 
  0.08      0.184     0.004     0.000     0.181     4000   ActiveSupport::Notifications::Fanout#start 
  0.08      0.005     0.003     0.000     0.001     5000   MonitorMixin#mon_check_owner 
  0.08      0.271     0.003     0.000     0.268     3000   ActiveSupport::LogSubscriber#finish 
  0.08      0.026     0.003     0.000     0.022     1000   Turbolinks::XDomainBlocker#abort_xdomain_redirect 
  0.08      3.537     0.003     0.000     3.534     1000   Rack::Test::Session#process_request 
  0.08      0.008     0.003     0.000     0.005     2000   Rack::Request#path 
  0.08      2.218     0.003     0.000     2.214     1000   ActionDispatch::Routing::RouteSet::Dispatcher#call 
  0.08      0.060     0.003     0.000     0.056     1000   Rails::Rack::Logger#started_request_message 
  0.08      0.003     0.003     0.000     0.000     3000   String#tr 
  0.08      0.003     0.003     0.000     0.000     6000   URI::Generic#set_fragment 
